[INFO ][2017-09-18 09:07:11,705][ServiceConfig:518]  [DUBBO] Export dubbo service com.xinleju.platform.flow.dto.service.AgentDtoServiceCustomer to local registry, dubbo version: 2.8.4, current host: 10.211.55.3
[INFO ][2017-09-18 09:07:11,706][ServiceConfig:474]  [DUBBO] Export dubbo service com.xinleju.platform.flow.dto.service.AgentDtoServiceCustomer to url dubbo://10.211.55.3:20889/com.xinleju.platform.flow.dto.service.AgentDtoServiceCustomer?anyhost=true&application=platform-sysManager&default.service.filter=DubboServiceFilter&dubbo=2.8.4&generic=false&interface=com.xinleju.platform.flow.dto.service.AgentDtoServiceCustomer&methods=updateBatch,saveBatch,getPage,save,getObjectById,deleteAllObjectByIds,update,queryAgentInstanceList,deletePseudoAllObjectByIds,queryList,deletePseudoObjectById,deleteObjectById,changeStatus,getCount&pid=11948&retries=0&side=provider&timeout=50000&timestamp=1505696831698, dubbo version: 2.8.4, current host: 10.211.55.3
[INFO ][2017-09-18 09:07:11,706][ServiceConfig:485]  [DUBBO] Register dubbo service com.xinleju.platform.flow.dto.service.AgentDtoServiceCustomer url dubbo://10.211.55.3:20889/com.xinleju.platform.flow.dto.service.AgentDtoServiceCustomer?anyhost=true&application=platform-sysManager&default.service.filter=DubboServiceFilter&dubbo=2.8.4&generic=false&interface=com.xinleju.platform.flow.dto.service.AgentDtoServiceCustomer&methods=updateBatch,saveBatch,getPage,save,getObjectById,deleteAllObjectByIds,update,queryAgentInstanceList,deletePseudoAllObjectByIds,queryList,deletePseudoObjectById,deleteObjectById,changeStatus,getCount&pid=11948&retries=0&side=provider&timeout=50000&timestamp=1505696831698 to registry registry://127.0.0.1:2181/com.alibaba.dubbo.registry.RegistryService?application=platform-sysManager&dubbo=2.8.4&pid=11948&registry=zookeeper&timestamp=1505696831698, dubbo version: 2.8.4, current host: 10.211.55.3
[INFO ][2017-09-18 09:07:11,707][AbstractRegistry:302]  [DUBBO] Register: dubbo://10.211.55.3:20889/com.xinleju.platform.flow.dto.service.AgentDtoServiceCustomer?anyhost=true&application=platform-sysManager&default.service.filter=DubboServiceFilter&dubbo=2.8.4&generic=false&interface=com.xinleju.platform.flow.dto.service.AgentDtoServiceCustomer&methods=updateBatch,saveBatch,getPage,save,getObjectById,deleteAllObjectByIds,update,queryAgentInstanceList,deletePseudoAllObjectByIds,queryList,deletePseudoObjectById,deleteObjectById,changeStatus,getCount&pid=11948&retries=0&side=provider&timeout=50000&timestamp=1505696831698, dubbo version: 2.8.4, current host: 10.211.55.3
[INFO ][2017-09-18 09:07:11,715][AbstractRegistry:325]  [DUBBO] Subscribe: provider://10.211.55.3:20889/com.xinleju.platform.flow.dto.service.AgentDtoServiceCustomer?anyhost=true&application=platform-sysManager&category=configurators&check=false&default.service.filter=DubboServiceFilter&dubbo=2.8.4&generic=false&interface=com.xinleju.platform.flow.dto.service.AgentDtoServiceCustomer&methods=updateBatch,saveBatch,getPage,save,getObjectById,deleteAllObjectByIds,update,queryAgentInstanceList,deletePseudoAllObjectByIds,queryList,deletePseudoObjectById,deleteObjectById,changeStatus,getCount&pid=11948&retries=0&side=provider&timeout=50000&timestamp=1505696831698, dubbo version: 2.8.4, current host: 10.211.55.3
[INFO ][2017-09-18 09:07:11,722][AbstractRegistry:422]  [DUBBO] Notify urls for subscribe url provider://10.211.55.3:20889/com.xinleju.platform.flow.dto.service.AgentDtoServiceCustomer?anyhost=true&application=platform-sysManager&category=configurators&check=false&default.service.filter=DubboServiceFilter&dubbo=2.8.4&generic=false&interface=com.xinleju.platform.flow.dto.service.AgentDtoServiceCustomer&methods=updateBatch,saveBatch,getPage,save,getObjectById,deleteAllObjectByIds,update,queryAgentInstanceList,deletePseudoAllObjectByIds,queryList,deletePseudoObjectById,deleteObjectById,changeStatus,getCount&pid=11948&retries=0&side=provider&timeout=50000&timestamp=1505696831698, urls: [empty://10.211.55.3:20889/com.xinleju.platform.flow.dto.service.AgentDtoServiceCustomer?anyhost=true&application=platform-sysManager&category=configurators&check=false&default.service.filter=DubboServiceFilter&dubbo=2.8.4&generic=false&interface=com.xinleju.platform.flow.dto.service.AgentDtoServiceCustomer&methods=updateBatch,saveBatch,getPage,save,getObjectById,deleteAllObjectByIds,update,queryAgentInstanceList,deletePseudoAllObjectByIds,queryList,deletePseudoObjectById,deleteObjectById,changeStatus,getCount&pid=11948&retries=0&side=provider&timeout=50000&timestamp=1505696831698], dubbo version: 2.8.4, current host: 10.211.55.3
[INFO ][2017-09-18 09:07:11,724][ServiceBean:108]  [DUBBO] The service ready on spring started. service: com.xinleju.platform.flow.dto.service.AgentFlDtoServiceCustomer, dubbo version: 2.8.4, current host: 10.211.55.3
[INFO ][2017-09-18 09:07:11,729][ServiceConfig:518]  [DUBBO] Export dubbo service com.xinleju.platform.flow.dto.service.AgentFlDtoServiceCustomer to local registry, dubbo version: 2.8.4, current host: 10.211.55.3
[INFO ][2017-09-18 09:07:11,730][ServiceConfig:474]  [DUBBO] Export dubbo service com.xinleju.platform.flow.dto.service.AgentFlDtoServiceCustomer to url dubbo://10.211.55.3:20889/com.xinleju.platform.flow.dto.service.AgentFlDtoServiceCustomer?anyhost=true&application=platform-sysManager&default.service.filter=DubboServiceFilter&dubbo=2.8.4&generic=false&interface=com.xinleju.platform.flow.dto.service.AgentFlDtoServiceCustomer&methods=updateBatch,saveBatch,getPage,save,getObjectById,deleteAllObjectByIds,update,deletePseudoAllObjectByIds,queryList,deletePseudoObjectById,deleteObjectById,queryAgentFlowList,getCount&pid=11948&retries=0&side=provider&timeout=50000&timestamp=1505696831726, dubbo version: 2.8.4, current host: 10.211.55.3
[INFO ][2017-09-18 09:07:11,730][ServiceConfig:485]  [DUBBO] Register dubbo service com.xinleju.platform.flow.dto.service.AgentFlDtoServiceCustomer url dubbo://10.211.55.3:20889/com.xinleju.platform.flow.dto.service.AgentFlDtoServiceCustomer?anyhost=true&application=platform-sysManager&default.service.filter=DubboServiceFilter&dubbo=2.8.4&generic=false&interface=com.xinleju.platform.flow.dto.service.AgentFlDtoServiceCustomer&methods=updateBatch,saveBatch,getPage,save,getObjectById,deleteAllObjectByIds,update,deletePseudoAllObjectByIds,queryList,deletePseudoObjectById,deleteObjectById,queryAgentFlowList,getCount&pid=11948&retries=0&side=provider&timeout=50000&timestamp=1505696831726 to registry registry://127.0.0.1:2181/com.alibaba.dubbo.registry.RegistryService?application=platform-sysManager&dubbo=2.8.4&pid=11948&registry=zookeeper&timestamp=1505696831726, dubbo version: 2.8.4, current host: 10.211.55.3
